"Time","transfer-submitted","transfer-submission_failed","transfer-queued","transfer-failed","transfer-done"
2023-01-17 10:00:00,0,0,21097,0,0
2023-01-17 11:00:00,11760,300,51884,0,3688
2023-01-17 12:00:00,17326,389,0,51,3086
2023-01-17 13:00:00,17863,178,0,107,3907
2023-01-17 14:00:00,18522,167,0,4500,20456
2023-01-17 15:00:00,6382,115,0,29164,6875
2023-01-17 16:00:00,0,0,0,0,0
2023-01-17 17:00:00,0,0,0,0,0
2023-01-17 18:00:00,0,0,0,0,0
2023-01-17 19:00:00,0,0,0,0,0
2023-01-17 20:00:00,0,0,0,0,0
2023-01-17 21:00:00,0,0,0,0,0
2023-01-17 22:00:00,0,0,0,0,0
2023-01-17 23:00:00,0,0,0,0,0
2023-01-18 00:00:00,0,0,0,0,0
2023-01-18 01:00:00,0,0,0,0,0
2023-01-18 02:00:00,0,0,0,0,0
2023-01-18 03:00:00,0,0,0,0,0
2023-01-18 04:00:00,0,0,0,0,0
2023-01-18 05:00:00,0,0,0,0,0
2023-01-18 06:00:00,0,0,0,0,0
2023-01-18 07:00:00,0,0,0,0,0
2023-01-18 08:00:00,0,0,0,0,0
2023-01-18 09:00:00,0,0,0,0,0
2023-01-18 10:00:00,0,0,0,0,0
2023-01-18 11:00:00,0,0,0,0,0
2023-01-18 12:00:00,0,0,0,0,0
2023-01-18 13:00:00,0,0,0,0,0
2023-01-18 14:00:00,0,0,0,0,0
2023-01-18 15:00:00,0,0,0,0,0
2023-01-18 16:00:00,0,0,0,0,0
2023-01-18 17:00:00,0,0,0,0,0
2023-01-18 18:00:00,0,0,0,0,0
2023-01-18 19:00:00,0,0,0,0,0
2023-01-18 20:00:00,0,0,0,0,0
2023-01-18 21:00:00,0,0,0,0,0
2023-01-18 22:00:00,0,0,0,0,0
2023-01-18 23:00:00,0,0,0,0,0
2023-01-19 00:00:00,0,0,0,0,0
2023-01-19 01:00:00,0,0,0,0,0
2023-01-19 02:00:00,40,0,40,40,0
2023-01-19 03:00:00,25,0,25,25,0
2023-01-19 04:00:00,35,0,35,35,0
2023-01-19 05:00:00,0,0,0,0,0
2023-01-19 06:00:00,0,0,0,0,0
2023-01-19 07:00:00,0,0,0,0,0
2023-01-19 08:00:00,1,0,1,1,0
2023-01-19 09:00:00,186,13,199,186,0
2023-01-19 10:00:00,0,0,0,0,0
2023-01-19 11:00:00,0,0,0,0,0
2023-01-19 12:00:00,268,8,276,268,0
2023-01-19 13:00:00,96,4,100,96,0
2023-01-19 14:00:00,103,0,130,62,0
2023-01-19 15:00:00,1473,31,1478,1460,0
2023-01-19 16:00:00,6990,278,7306,6845,0
2023-01-19 17:00:00,13031,387,14995,12930,0
2023-01-19 18:00:00,13824,285,18615,13895,0
2023-01-19 19:00:00,13860,52,19131,13788,0
2023-01-19 20:00:00,13476,352,18987,7572,0
2023-01-19 21:00:00,13657,190,17750,5870,0
2023-01-19 22:00:00,13364,147,2353,1967,3564
2023-01-19 23:00:00,9345,0,100,9,538
2023-01-20 00:00:00,0,0,0,28,238
2023-01-20 01:00:00,0,0,0,46,216
2023-01-20 02:00:00,0,0,0,52,219
2023-01-20 03:00:00,0,0,0,45,335
2023-01-20 04:00:00,0,0,0,39,564
2023-01-20 05:00:00,0,0,0,47,815
2023-01-20 06:00:00,0,0,0,46,1160
2023-01-20 07:00:00,0,0,0,48,1972
2023-01-20 08:00:00,13,0,13,69,2297
